Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
1,AbstractConfiguration,96,96,0.96,0.96
2,AbstractHierarchicalConfiguration,97,97,0.97,0.97
3,AbstractYAMLBasedConfiguration,98,81,0.98,0.81
4,BaseConfiguration,95,100,0.95,1.0
5,BaseConfigurationXMLReader,100,90,1.0,0.9
6,BaseHierarchicalConfiguration,96,93,0.96,0.93
7,CombinedConfiguration,96,95,0.96,0.95
8,CompositeConfiguration,95,86,0.95,0.86
9,ConfigurationConverter,92,100,0.92,1.0
10,ConfigurationLookup,100,100,1.0,1.0
11,ConfigurationMap,92,81,0.92,0.81
12,ConfigurationUtils,88,89,0.88,0.89
13,ConfigurationXMLReader,78,70,0.78,0.7
14,DataConfiguration,98,89,0.98,0.89
15,DatabaseConfiguration,92,52,0.92,0.52
16,DynamicCombinedConfiguration,62,47,0.62,0.47
17,FindNodeVisitor,100,100,1.0,1.0
18,HierarchicalConfigurationConverter,98,89,0.98,0.89
19,HierarchicalConfigurationXMLReader,100,100,1.0,1.0
20,INIConfiguration,98,82,0.98,0.82
21,ImmutableConfigurationInvocationHandler,100,100,1.0,1.0
22,JNDIConfiguration,94,85,0.94,0.85
23,JSONConfiguration,64,40,0.64,0.4
24,MapConfiguration,93,94,0.93,0.94
25,PatternSubtreeConfigurationWrapper,23,8,0.23,0.08
26,PrefixedKeysIterator,90,100,0.9,1.0
27,PropertiesConfiguration,96,95,0.96,0.95
28,PropertiesConfigurationLayout,96,95,0.96,0.95
29,StrictConfigurationComparator,100,100,1.0,1.0
30,SubnodeConfiguration,100,100,1.0,1.0
31,SubsetConfiguration,95,95,0.95,0.95
32,SystemConfiguration,91,88,0.91,0.88
33,XMLConfiguration,96,89,0.96,0.89
34,XMLDocumentHelper,100,100,1.0,1.0
35,XMLListReference,100,85,1.0,0.85
36,XMLPropertiesConfiguration,87,78,0.87,0.78
37,YAMLConfiguration,63,54,0.63,0.54
38,BeanHelper,83,90,0.83,0.9
39,CombinedBeanDeclaration,100,100,1.0,1.0
40,ConfigurationDynaBean,90,88,0.9,0.88
41,ConfigurationDynaClass,89,81,0.89,0.81
42,ConstructorArg,100,100,1.0,1.0
43,DefaultBeanFactory,100,100,1.0,1.0
44,XMLBeanDeclaration,88,89,0.88,0.89
45,AutoSaveListener,100,100,1.0,1.0
46,BasicBuilderParameters,98,96,0.98,0.96
47,BasicConfigurationBuilder,99,94,0.99,0.94
48,BuilderConfigurationWrapperFactory,100,100,1.0,1.0
49,ConfigurationBuilderEvent,100,100,1.0,1.0
50,ConfigurationBuilderResultCreatedEvent,100,100,1.0,1.0
51,CopyObjectDefaultHandler,100,100,1.0,1.0
52,DatabaseBuilderParametersImpl,100,100,1.0,1.0
53,DefaultParametersManager,100,100,1.0,1.0
54,DefaultReloadingDetectorFactory,100,67,1.0,0.67
55,EventListenerParameters,100,100,1.0,1.0
56,FileBasedBuilderParametersImpl,100,100,1.0,1.0
57,FileBasedConfigurationBuilder,100,92,1.0,0.92
58,HierarchicalBuilderParametersImpl,100,100,1.0,1.0
59,INIBuilderParametersImpl,58,30,0.58,0.3
60,INIBuilderProperties,0,0,0.0,0.0
61,JndiBuilderParametersImpl,100,100,1.0,1.0
62,PropertiesBuilderParametersImpl,100,100,1.0,1.0
63,PropertiesBuilderProperties,0,0,0.0,0.0
64,ReloadingBuilderSupportListener,100,100,1.0,1.0
65,ReloadingFileBasedConfigurationBuilder,100,100,1.0,1.0
66,XMLBuilderParametersImpl,100,100,1.0,1.0
67,BaseConfigurationBuilderProvider,97,100,0.97,1.0
68,CombinedBuilderParametersImpl,99,97,0.99,0.97
69,CombinedConfigurationBuilder,98,90,0.98,0.9
