Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
1,ConfigurationDynaClass,42,26,4,30.0,0.8666667,86.666664
2,DefaultBeanFactory,67,27,3,30.0,0.9,90.0
3,XMLBeanDeclaration,74,28,8,36.0,0.7777778,77.77778
4,ConstructorArg,26,11,1,12.0,0.9166667,91.66667
5,CombinedBeanDeclaration,41,26,0,26.0,1.0,100.0
6,BeanHelper,107,39,11,50.0,0.78,78.0
7,ConfigurationDynaBean,61,34,10,44.0,0.77272725,77.27273
8,DynamicCombinedConfiguration,124,27,25,52.0,0.5192308,51.923077
9,ConfigurationLookup,7,2,0,2.0,1.0,100.0
10,ImmutableConfigurationInvocationHandler,9,2,0,2.0,1.0,100.0
11,StrictConfigurationComparator,19,16,0,16.0,1.0,100.0
12,INIConfiguration,220,127,5,132.0,0.9621212,96.21212
13,AbstractYAMLBasedConfiguration,50,19,1,20.0,0.95,95.0
14,ConfigurationUtils,97,33,1,34.0,0.9705882,97.05882
15,ConfigurationConverter,24,6,0,6.0,1.0,100.0
16,XMLDocumentHelper,58,4,0,4.0,1.0,100.0
17,XMLListReference,38,19,1,20.0,0.95,95.0
18,HierarchicalConfigurationXMLReader,13,0,0,0.0,0,0.0
19,PropertiesConfigurationLayout,174,80,4,84.0,0.95238096,95.2381
20,XMLPropertiesConfiguration,82,20,14,34.0,0.5882353,58.823532
21,SubsetConfiguration,48,20,4,24.0,0.8333333,83.33333
22,AbstractHierarchicalConfiguration,138,51,1,52.0,0.9807692,98.07692
23,PatternSubtreeConfigurationWrapper,17,5,11,16.0,0.3125,31.25
24,ConfigurationMap,10,0,0,0.0,0,0.0
25,AbstractConfiguration,346,111,17,128.0,0.8671875,86.71875
26,BaseConfiguration,35,8,0,8.0,1.0,100.0
27,CombinedConfiguration,201,67,3,70.0,0.95714283,95.71428
28,DataConfiguration,136,10,2,12.0,0.8333333,83.33333
29,PropertiesConfiguration,160,74,12,86.0,0.8604651,86.04651
30,JSONConfiguration,14,0,0,0.0,0,0.0
31,SubnodeConfiguration,26,6,0,6.0,1.0,100.0
32,YAMLConfiguration,21,0,0,0.0,0,0.0
33,PrefixedKeysIterator,19,13,3,16.0,0.8125,81.25
34,SystemConfiguration,21,5,1,6.0,0.8333333,83.33333
35,DatabaseConfiguration,62,18,0,18.0,1.0,100.0
36,BaseConfigurationXMLReader,13,0,0,0.0,0,0.0
37,MapConfiguration,38,10,0,10.0,1.0,100.0
38,HierarchicalConfigurationConverter,45,16,2,18.0,0.8888889,88.88889
39,BaseHierarchicalConfiguration,138,31,1,32.0,0.96875,96.875
40,ConfigurationXMLReader,41,13,1,14.0,0.9285714,92.85714
41,XMLConfiguration,240,105,1,106.0,0.990566,99.0566
42,CompositeConfiguration,158,72,6,78.0,0.9230769,92.30769
43,JNDIConfiguration,105,34,4,38.0,0.8947368,89.47369
44,FindNodeVisitor,10,2,0,2.0,1.0,100.0
45,EventListenerRegistrationData,16,11,1,12.0,0.9166667,91.66667
46,BaseEventSource,58,20,0,20.0,1.0,100.0
47,ConfigurationErrorEvent,13,0,0,0.0,0,0.0
48,EventType,20,6,0,6.0,1.0,100.0
49,EventListenerList,45,21,1,22.0,0.95454544,95.454544
50,ConfigurationEvent,17,0,0,0.0,0,0.0
51,Event,16,2,0,2.0,1.0,100.0
52,DefaultConversionHandler,67,46,0,46.0,1.0,100.0
53,DisabledListDelimiterHandler,7,0,0,0.0,0,0.0
54,DefaultListDelimiterHandler,44,26,0,26.0,1.0,100.0
55,PropertyConverter,211,148,28,176.0,0.84090906,84.090904
56,ListDelimiterHandler,1,0,0,0.0,0,0.0
57,AbstractListDelimiterHandler,27,21,1,22.0,0.95454544,95.454544
58,LegacyListDelimiterHandler,66,33,5,38.0,0.8684211,86.84211
59,ConfigurationNodePointerFactory,8,2,2,4.0,0.5,50.0
60,XPathContextFactory,6,0,0,0.0,0,0.0
61,ConfigurationNodeIteratorAttribute,24,12,0,12.0,1.0,100.0
62,ConfigurationNodeIteratorChildren,50,30,0,30.0,1.0,100.0
63,XPathExpressionEngine,114,57,1,58.0,0.98275864,98.27586
64,ConfigurationNodePointer,35,11,1,12.0,0.9166667,91.66667
