Class Name,Line Coverage,Branch Coverage,Mutation Score
Abs,100,0,100
AbstractConvergenceChecker,100,0,100
AbstractCurveFitter,100,0,100
AbstractEvaluation,100,100,100
AbstractFieldIntegrator,97,88,80
AbstractFieldMatrix,86,82.90598,77
AbstractFieldStepInterpolator,100,0,100
AbstractIntegerDistribution,78,61.904762,54
AbstractIntegrator,99,96.42857,86
AbstractListChromosome,100,50,60
AbstractMultipleLinearRegression,93,87.5,87
AbstractMultivariateRealDistribution,82,75,86
AbstractOptimizationProblem,100,0,100
AbstractParameterizable,71,100,80
AbstractPolynomialSolver,60,0,100
AbstractRealDistribution,72,50,47
AbstractRealMatrix,88,86.5,78
AbstractSimplex,85,75.92593,92
AbstractStepInterpolator,91,73.52941,87
AbstractStorelessUnivariateStatistic,96,85,89
AbstractUnivariateDifferentiableSolver,78,0,100
AbstractUnivariateStatistic,35,16.666668,25
Acos,100,0,100
Acosh,100,0,100
AdamsBashforthFieldIntegrator,98,94.44444,68
AdamsBashforthIntegrator,94,92.10526,71
AdamsFieldIntegrator,100,0,100
AdamsFieldStepInterpolator,87,100,79
AdamsIntegrator,100,0,100
AdamsMoultonFieldIntegrator,98,96.666664,67
AdamsMoultonIntegrator,95,93.75,67
AdamsNordsieckFieldTransformer,100,100,100
AdamsNordsieckTransformer,99,100,99
AdaptiveStepsizeFieldIntegrator,84,66.66667,54
AdaptiveStepsizeIntegrator,94,84.78261,77
Add,100,0,100
AggregateSummaryStatistics,74,62.5,62
AgrestiCoullInterval,100,0,100
AkimaSplineInterpolator,92,88.46153,94
AnyMatrix,100,91.66667,100
ArgUtils,90,87.5,100
Array2DRowFieldMatrix,89,90.21739,94
Array2DRowRealMatrix,98,93,89
ArrayFieldVector,82,80,58
ArrayRealVector,98,97.26027,86
Asin,100,0,100
Asinh,100,0,100
Atan,100,0,100
Atan2,100,0,100
Atanh,100,0,100
BaseAbstractUnivariateIntegrator,88,75,94
BaseAbstractUnivariateSolver,98,0,96
BaseMultiStartMultivariateOptimizer,87,64.70589,65
BaseMultivariateOptimizer,97,93.333336,100
BaseOptimizer,92,100,79
BaseRuleFactory,88,80,100
BaseSecantSolver,96,93.75,69
BesselJ,95,85.606064,65
BicubicInterpolatingFunction,97,87.5,100
BicubicInterpolator,97,75,93
BiDiagonalTransformer,98,93.63636,95
BigReal,93,100,80
BigRealField,100,0,100
BinaryChromosome,95,93.75,88
BinaryMutation,89,75,100
BisectionSolver,90,100,63
BlockFieldMatrix,88,85.25179,82
BlockRealMatrix,95,93.49315,86
BOBYQAOptimizer,87,83.17308,70
BracketFinder,91,80.434784,51
BracketingNthOrderBrentSolver,99,98.48485,83
BrentOptimizer,96,93.24324,82
BrentSolver,82,0,100
CanberraDistance,100,100,90
CardanEulerSingularityException,100,100,0
Cbrt,100,0,100
Ceil,100,0,100
CentralPivotingStrategy,33,0,0
CentroidCluster,100,0,100
ChebyshevDistance,100,0,100
CholeskyDecomposition,98,100,96
Chromosome,93,87.5,86
ChromosomePair,86,0,67
