Class Name,Line Coverage,Branch Coverage,Mutation Score
Abs,100,,100
AbstractConvergenceChecker,100,,100
AbstractCurveFitter,100,,100
AbstractEvaluation,100,,100
AbstractFieldIntegrator,97,,80
AbstractFieldMatrix,86,,77
AbstractFieldStepInterpolator,100,,100
AbstractIntegerDistribution,78,,54
AbstractIntegrator,99,,86
AbstractListChromosome,100,,60
AbstractMultipleLinearRegression,93,,87
AbstractMultivariateRealDistribution,82,,86
AbstractOptimizationProblem,100,,100
AbstractParameterizable,71,,80
AbstractPolynomialSolver,60,,100
AbstractRealDistribution,72,,47
AbstractRealMatrix,88,,78
AbstractSimplex,85,,92
AbstractStepInterpolator,91,,87
AbstractStorelessUnivariateStatistic,96,,89
AbstractUnivariateDifferentiableSolver,78,,100
AbstractUnivariateStatistic,35,,25
Acos,100,,100
Acosh,100,,100
AdamsBashforthFieldIntegrator,98,,68
AdamsBashforthIntegrator,94,,71
AdamsFieldIntegrator,100,,100
AdamsFieldStepInterpolator,87,,79
AdamsIntegrator,100,,100
AdamsMoultonFieldIntegrator,98,,67
AdamsMoultonIntegrator,95,,67
AdamsNordsieckFieldTransformer,100,,100
AdamsNordsieckTransformer,99,,99
AdaptiveStepsizeFieldIntegrator,84,,54
AdaptiveStepsizeIntegrator,94,,77
Add,100,,100
AggregateSummaryStatistics,74,,62
AgrestiCoullInterval,100,,100
AkimaSplineInterpolator,92,,94
AnyMatrix,100,,100
ArgUtils,90,,100
Array2DRowFieldMatrix,89,,94
Array2DRowRealMatrix,98,,89
ArrayFieldVector,82,,58
ArrayRealVector,98,,86
Asin,100,,100
Asinh,100,,100
Atan,100,,100
Atan2,100,,100
Atanh,100,,100
BaseAbstractUnivariateIntegrator,88,,94
BaseAbstractUnivariateSolver,98,,96
BaseMultiStartMultivariateOptimizer,87,,65
BaseMultivariateOptimizer,97,,100
BaseOptimizer,92,,79
BaseRuleFactory,88,,100
BaseSecantSolver,96,,69
BesselJ,95,,65
BicubicInterpolatingFunction,97,,100
BicubicInterpolator,97,,93
BiDiagonalTransformer,98,,95
BigReal,93,,80
BigRealField,100,,100
BinaryChromosome,95,,88
BinaryMutation,89,,100
BisectionSolver,90,,63
BlockFieldMatrix,88,,82
BlockRealMatrix,95,,86
BOBYQAOptimizer,87,,70
BracketFinder,91,,51
BracketingNthOrderBrentSolver,99,,83
BrentOptimizer,96,,82
BrentSolver,82,,100
CanberraDistance,100,,90
CardanEulerSingularityException,100,,0
Cbrt,100,,100
Ceil,100,,100
CentralPivotingStrategy,33,,0
CentroidCluster,100,,100
ChebyshevDistance,100,,100
CholeskyDecomposition,98,,96
Chromosome,93,,86
ChromosomePair,86,,67
ClassicalRungeKuttaFieldIntegrator,100,,100
ClassicalRungeKuttaFieldStepInterpolator,100,,80
ClassicalRungeKuttaStepInterpolator,100,,99
ClopperPearsonInterval,100,,100
Cluster,100,,100
Clusterer,100,,100
ClusterEvaluator,86,,93
CMAESOptimizer,89,,77
CombinatoricsUtils,95,,52
ComplexFormat,89,,79
CompositeFormat,98,,88
ConfidenceInterval,80,,45
ConjugateGradient,90,,57
Constant,100,,100
ContinuousOutputFieldModel,97,,61
ContinuousOutputModel,97,,42
ConvergenceException,100,,0
CorrelatedRandomVectorGenerator,61,,71
Cos,100,,100
Cosh,100,,100
Covariance,89,,90
CycleCrossover,95,,78
DBSCANClusterer,100,,88
Decimal64,90,,90
Decimal64Field,100,,100
DefaultFieldMatrixChangingVisitor,83,,50
DefaultFieldMatrixPreservingVisitor,83,,100
DefaultIterativeLinearSolverEvent,89,,63
DefaultMeasurementModel,75,,100
DefaultProcessModel,55,,100
DefaultRealMatrixChangingVisitor,75,,0
DefaultTransformer,92,,67
DenseWeightedEvaluation,100,,100
DerivativeStructure,100,,88
DescriptiveStatistics,90,,86
Dfp,92,,94
DfpDec,82,,83
DfpField,93,,88
DfpMath,90,,78
DiagonalMatrix,99,,91
DifferentiatorVectorMultivariateJacobianFunction,100,,100
DimensionMismatchException,100,,100
Divide,100,,100
DividedDifferenceInterpolator,100,,100
DormandPrince54FieldIntegrator,100,,100
DormandPrince54FieldStepInterpolator,100,,80
DormandPrince54Integrator,100,,100
DormandPrince54StepInterpolator,100,,99
DormandPrince853FieldIntegrator,100,,93
DormandPrince853FieldStepInterpolator,100,,90
DormandPrince853Integrator,100,,98
DormandPrince853StepInterpolator,98,,98
DoublePoint,86,,56
DSCompiler,100,,93
DummyLocalizable,0,,0
DummyStepHandler,0,,0
EarthMoversDistance,100,,86
EigenDecomposition,94,,86
ElitisticListPopulation,100,,79
EmbeddedRungeKuttaFieldIntegrator,97,,70
EmbeddedRungeKuttaIntegrator,100,,88
EmpiricalDistribution,93,,83
EnumeratedDistribution,75,,59
EnumeratedIntegerDistribution,100,,89
EnumeratedRealDistribution,99,,91
EquationsMapper,86,,100
EuclideanDistance,100,,100
EulerFieldIntegrator,100,,100
EulerFieldStepInterpolator,100,,40
EulerStepInterpolator,100,,87
EvaluationRmsChecker,80,,100
EventFilter,91,,63
EventState,86,,82
ExceptionContext,99,,98
