Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
1,ChartColor,93,100,0.93,1.0
2,ChartFactory,53,9,0.53,0.09
3,ChartFrame,0,0,0.0,0.0
4,ChartHints,0,0,0.0,0.0
5,ChartMouseEvent,0,0,0.0,0.0
6,ChartPanel,31,8,0.31,0.08
7,ChartRenderingInfo,98,83,0.98,0.83
8,ChartTransferable,0,0,0.0,0.0
9,ChartUtilities,0,0,0.0,0.0
10,ClipPath,0,0,0.0,0.0
11,DrawableLegendItem,0,0,0.0,0.0
12,HashUtilities,56,13,0.56,0.13
13,JFreeChart,72,36,0.72,0.36
14,LegendItem,87,64,0.87,0.64
15,LegendItemCollection,90,82,0.9,0.82
16,LegendRenderingOrder,0,0,0.0,0.0
17,MouseWheelHandler,13,0,0.13,0.0
18,PaintMap,98,85,0.98,0.85
19,PolarChartPanel,0,0,0.0,0.0
20,StandardChartTheme,63,32,0.63,0.32
21,StrokeMap,94,85,0.94,0.85
22,AbstractAnnotation,77,72,0.77,0.72
23,AbstractXYAnnotation,35,29,0.35,0.29
24,CategoryLineAnnotation,71,38,0.71,0.38
25,CategoryPointerAnnotation,59,22,0.59,0.22
26,CategoryTextAnnotation,63,41,0.63,0.41
27,TextAnnotation,97,58,0.97,0.58
28,XYBoxAnnotation,31,25,0.31,0.25
29,XYDataImageAnnotation,0,0,0.0,0.0
30,XYDrawableAnnotation,62,28,0.62,0.28
31,XYImageAnnotation,33,31,0.33,0.31
32,XYLineAnnotation,55,40,0.55,0.4
33,XYPointerAnnotation,55,19,0.55,0.19
34,XYPolygonAnnotation,46,32,0.46,0.32
35,XYShapeAnnotation,48,31,0.48,0.31
36,XYTextAnnotation,88,43,0.88,0.43
37,XYTitleAnnotation,66,27,0.66,0.27
38,Axis,75,38,0.75,0.38
39,AxisCollection,90,40,0.9,0.4
40,AxisLabelLocation,68,56,0.68,0.56
41,AxisLocation,61,52,0.61,0.52
42,AxisSpace,63,28,0.63,0.28
43,AxisState,59,7,0.59,0.07
44,CategoryAnchor,77,67,0.77,0.67
45,CategoryAxis,82,22,0.82,0.22
46,CategoryAxis3D,6,3,0.06,0.03
47,CategoryLabelPosition,96,47,0.96,0.47
48,CategoryLabelPositions,56,29,0.56,0.29
49,CategoryLabelWidthType,90,79,0.9,0.79
50,CategoryTick,92,59,0.92,0.59
51,ColorBar,27,15,0.27,0.15
52,CompassFormat,0,0,0.0,0.0
53,CyclicNumberAxis,14,8,0.14,0.08
54,DateAxis,74,37,0.74,0.37
55,DateTick,81,50,0.81,0.5
56,DateTickMarkPosition,86,80,0.86,0.8
57,DateTickUnit,81,53,0.81,0.53
58,DateTickUnitType,94,92,0.94,0.92
59,ExtendedCategoryAxis,68,43,0.68,0.43
60,LogAxis,46,25,0.46,0.25
61,LogTick,0,0,0.0,0.0
62,LogarithmicAxis,21,13,0.21,0.13
63,MarkerAxisBand,38,27,0.38,0.27
64,ModuloAxis,21,5,0.21,0.05
65,MonthDateFormat,67,64,0.67,0.64
66,NumberAxis,82,40,0.82,0.4
67,NumberAxis3D,6,0,0.06,0.0
68,NumberTick,86,0,0.86,0.0
