Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
1,PlotRenderingInfo,42,11,9,20.0,0.55,55.0
2,CombinedDomainXYPlot,149,47,59,106.0,0.44339624,44.339622
3,PolarPlot,302,104,180,284.0,0.36619717,36.619717
4,DatasetRenderingOrder,15,6,4,10.0,0.6,60.000004
5,DialShape,14,4,8,12.0,0.33333334,33.333336
6,Plot,246,90,86,176.0,0.5113636,51.136364
7,PiePlotState,34,0,0,0.0,0,0.0
8,ThermometerPlot,200,80,118,198.0,0.4040404,40.40404
9,RingPlot,90,25,45,70.0,0.35714287,35.714287
10,ContourPlotUtilities,0,0,0,0.0,0,0.0
11,PiePlot,779,227,129,356.0,0.6376405,63.764046
12,PieLabelDistributor,50,21,13,34.0,0.61764705,61.764706
13,PlotUtilities,0,0,6,6.0,0.0,0.0
14,PieLabelRecord,45,19,7,26.0,0.7307692,73.07692
15,PlotState,4,0,0,0.0,0,0.0
16,FastScatterPlot,218,65,37,102.0,0.6372549,63.72549
17,CompassPlot,107,36,69,105.0,0.34285715,34.285717
18,DefaultDrawingSupplier,147,50,6,56.0,0.89285713,89.28571
19,CategoryMarker,27,7,3,10.0,0.7,70.0
20,Crosshair,159,33,1,34.0,0.9705882,97.05882
21,RainbowPalette,14,0,0,0.0,0,0.0
22,JThermometer,0,0,18,18.0,0.0,0.0
23,MeterPlot,347,93,49,142.0,0.6549296,65.49296
24,IntervalMarker,32,10,2,12.0,0.8333333,83.33333
25,AbstractPieLabelDistributor,10,0,0,0.0,0,0.0
26,GreyPalette,18,2,0,2.0,1.0,100.0
27,CombinedRangeXYPlot,142,43,59,102.0,0.42156863,42.156864
28,CombinedRangeCategoryPlot,145,45,41,86.0,0.5232558,52.325584
29,ColorPalette,35,15,41,56.0,0.26785713,26.785713
30,MultiplePiePlot,123,34,50,84.0,0.4047619,40.476192
31,MeterInterval,36,8,6,14.0,0.5714286,57.14286
32,PlotOrientation,21,8,2,10.0,0.8,80.0
33,WaferMapPlot,0,0,44,44.0,0.0,0.0
34,PolarAxisLocation,34,19,3,22.0,0.8636364,86.36364
35,CombinedDomainCategoryPlot,149,47,49,96.0,0.48958334,48.958336
36,XYPlot,1288,538,328,866.0,0.6212471,62.12471
37,ValueMarker,19,7,1,8.0,0.875,87.5
38,ContourPlot,23,4,202,206.0,0.019417476,1.9417475
39,SpiderWebPlot,389,101,43,144.0,0.7013889,70.13889
40,CategoryPlot,1157,464,232,696.0,0.6666667,66.66667
41,Marker,136,35,7,42.0,0.8333333,83.33333
42,PiePlot3D,262,59,89,148.0,0.39864865,39.864864
43,CrosshairState,24,1,11,12.0,0.083333336,8.333334
44,CategoryCrosshairState,13,1,11,12.0,0.083333336,8.333334
45,PieLabelLinkStyle,21,9,3,12.0,0.75,75.0
46,SeriesRenderingOrder,15,6,4,10.0,0.6,60.000004
47,StandardToolTipTagFragmentGenerator,3,0,0,0.0,0,0.0
48,DynamicDriveToolTipTagFragmentGenerator,0,0,0,0.0,0,0.0
49,StandardURLTagFragmentGenerator,3,0,0,0.0,0,0.0
50,OverLIBToolTipTagFragmentGenerator,4,0,0,0.0,0,0.0
51,ImageMapUtilities,32,22,12,34.0,0.64705884,64.70589
52,DefaultAxisEditor,0,0,22,22.0,0.0,0.0
53,DefaultChartEditor,0,0,6,6.0,0.0,0.0
54,DefaultPlotEditor,0,0,110,110.0,0.0,0.0
55,DefaultLogAxisEditor,0,0,12,12.0,0.0,0.0
56,DefaultTitleEditor,0,0,22,22.0,0.0,0.0
57,DefaultValueAxisEditor,0,0,32,32.0,0.0,0.0
58,DefaultPolarPlotEditor,0,0,12,12.0,0.0,0.0
59,DefaultNumberAxisEditor,0,0,12,12.0,0.0,0.0
60,DefaultColorBarEditor,0,0,10,10.0,0.0,0.0
61,DefaultChartEditorFactory,0,0,0,0.0,0,0.0
62,PaletteChooserPanel,0,0,0,0.0,0,0.0
63,PaletteSample,0,0,4,4.0,0.0,0.0
64,ChartEditorManager,0,0,0,0.0,0,0.0
65,CustomPieURLGenerator,39,17,7,24.0,0.7083333,70.83333
66,StandardXYURLGenerator,20,6,8,14.0,0.42857143,42.857143
67,StandardCategoryURLGenerator,39,11,9,20.0,0.55,55.0
68,TimeSeriesURLGenerator,44,15,5,20.0,0.75,75.0
69,StandardXYZURLGenerator,0,0,0,0.0,0,0.0
70,CustomXYURLGenerator,39,18,10,28.0,0.64285713,64.28571
71,CustomCategoryURLGenerator,40,18,10,28.0,0.64285713,64.28571
72,URLUtilities,0,0,0,0.0,0,0.0
73,StandardPieURLGenerator,35,11,3,14.0,0.78571427,78.57143
74,LegendGraphic,148,44,30,74.0,0.5945946,59.45946
75,Title,78,19,9,28.0,0.6785714,67.85714
76,ImageTitle,22,6,30,36.0,0.16666667,16.666668
77,DateTitle,8,0,0,0.0,0,0.0
78,ShortTextTitle,4,1,43,44.0,0.022727273,2.2727273
79,PaintScaleLegend,91,24,68,92.0,0.26086956,26.086956
80,CompositeTitle,26,6,4,10.0,0.6,60.000004
81,LegendItemBlockContainer,26,3,1,4.0,0.75,75.0
82,TextTitle,160,56,94,150.0,0.37333333,37.333332
83,LegendTitle,163,42,20,62.0,0.67741936,67.741936
84,ItemHandler,0,0,8,8.0,0.0,0.0
85,PieDatasetHandler,0,0,8,8.0,0.0,0.0
86,ValueHandler,0,0,8,8.0,0.0,0.0
87,KeyHandler,0,0,6,6.0,0.0,0.0
88,DatasetReader,0,0,0,0.0,0,0.0
89,RootHandler,0,0,8,8.0,0.0,0.0
90,CategoryDatasetHandler,0,0,8,8.0,0.0,0.0
91,CategorySeriesHandler,0,0,8,8.0,0.0,0.0
92,BarChartDemo1,0,0,0,0.0,0,0.0
93,PieChartDemo1,0,0,0,0.0,0,0.0
