Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=29.2891311645508 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 1, 69, 0, 0, 0, 740, 16, 24, 0, 
INI, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 
Bourne Shell, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 
Velocity Template Language, 0, 1, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 75, 0, 1, 1, 
JSON, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 
XSD, 2, 1, 0, 0, 4, 0, 0, 0, 48, 0, 0, 0, 224, 2, 0, 0, 
HTML, 1, 0, 0, 0, 24, 0, 0, 0, 14, 0, 0, 0, 49, 0, 0, 0, 
DTD, 3, 0, 0, 0, 15, 0, 0, 0, 46, 0, 0, 0, 22, 0, 0, 0, 
Markdown, 1, 1, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 183, 2, 0, 0, 
XML, 110, 27, 0, 0, 628, 0, 5, 1, 2273, 0, 0, 0, 19645, 62, 93, 5, 
YAML, 1, 1, 1, 0, 5, 0, 7, 0, 14, 0, 15, 0, 31, 0, 21, 1, 
Java, 291, 166, 2, 1, 4341, 0, 93, 56, 47134, 99, 243, 278, 66183, 536, 794, 711, 
