Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=240 s"
INI, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 
YAML, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 14, 0, 0, 0, 8, 
JavaScript, 0, 0, 0, 2, 0, 0, 0, 106, 0, 0, 0, 461, 0, 0, 0, 1091, 
Bourne Shell, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 
XSD, 0, 0, 1, 1, 0, 0, 7, 7, 0, 0, 14, 14, 0, 0, 25, 25, 
HTML, 0, 0, 3, 318, 0, 0, 33, 2422, 0, 0, 42, 42, 0, 0, 91, 19533, 
CSS, 0, 0, 0, 2, 0, 0, 0, 46, 0, 0, 0, 1, 0, 0, 0, 209, 
Maven, 0, 1, 10, 16, 0, 0, 31, 177, 22, 5, 140, 319, 227, 39, 494, 2037, 
Java, 0, 0, 301, 315, 0, 0, 5450, 5778, 0, 0, 15093, 15719, 0, 0, 19734, 21485, 
DTD, 1, 1, 1, 2, 27, 0, 3, 36, 198, 0, 14, 127, 168, 3, 1, 101, 
XML, 7, 4, 65, 174, 218, 0, 245, 281, 233, 0, 958, 1100, 2824, 32, 1121, 5806, 
