GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.Formula,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer,22,376,8,33,6,76,8,21,0,8
Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.BracketingStep,9,0,0,0,4,0,2,0,2,0
Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.LineSearchFunction,0,69,0,4,0,12,0,4,0,2
Commons Math,org.apache.commons.math3.optimization.univariate,SimpleUnivariateValueChecker,6,67,2,8,3,16,3,6,1,3
Commons Math,org.apache.commons.math3.optimization.univariate,BaseAbstractUnivariateOptimizer,8,94,2,2,2,27,2,11,0,11
Commons Math,org.apache.commons.math3.optimization.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.optimization.univariate,BracketFinder,80,324,16,30,17,76,17,18,5,7
Commons Math,org.apache.commons.math3.optimization.univariate,BrentOptimizer,23,470,5,69,6,117,5,37,0,5
Commons Math,org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer,24,134,4,10,5,28,6,9,2,6
Commons Math,org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer.new Comparator() {...},6,33,3,5,1,8,3,3,0,2
Commons Math,org.apache.commons.math3.stat.regression,RegressionResults,173,314,28,30,34,54,28,18,4,13
Commons Math,org.apache.commons.math3.stat.regression,GLSMultipleLinearRegression,21,95,0,2,3,21,1,7,1,6
Commons Math,org.apache.commons.math3.stat.regression,OLSMultipleLinearRegression,0,212,0,12,0,39,0,17,0,11
Commons Math,org.apache.commons.math3.stat.regression,MillerUpdatingRegression,514,2528,66,208,83,429,57,104,2,22
Commons Math,org.apache.commons.math3.stat.regression,SimpleRegression,413,1005,46,74,55,152,36,55,4,27
Commons Math,org.apache.commons.math3.stat.regression,AbstractMultipleLinearRegression,38,392,6,42,6,78,7,37,1,19
Commons Math,org.apache.commons.math3.stat.regression,ModelSpecificationException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,OrientedPoint,15,48,2,4,4,10,4,8,3,6
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Vector1DFormat,92,0,4,0,23,0,11,0,9,0
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D.LazyHolder,6,0,0,0,1,0,1,0,1,0
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Vector1D,311,35,16,0,64,9,39,3,31,3
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D,18,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,IntervalsSet,32,348,9,37,5,66,8,26,1,10
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,SubOrientedPoint,2,55,0,6,1,9,1,7,1,4
Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Interval,12,63,0,8,4,13,4,10,4,6
Commons Math,org.apache.commons.math3.optimization.linear,Relationship,3,56,0,3,1,11,1,5,1,3
Commons Math,org.apache.commons.math3.optimization.linear,AbstractLinearOptimizer,7,58,1,1,1,19,1,10,0,10
Commons Math,org.apache.commons.math3.optimization.linear,LinearConstraint,74,73,7,5,18,21,9,8,3,8
Commons Math,org.apache.commons.math3.optimization.linear,SimplexSolver,0,342,0,54,0,82,0,34,0,7
Commons Math,org.apache.commons.math3.optimization.linear,LinearObjectiveFunction,22,73,4,4,4,19,6,8,2,8
Commons Math,org.apache.commons.math3.optimization.linear,UnboundedSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.optimization.linear,SimplexTableau,49,1008,11,117,10,179,14,82,3,29
Commons Math,org.apache.commons.math3.optimization.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.util,OpenIntToDoubleHashMap,0,682,0,68,0,157,0,58,0,24
Commons Math,org.apache.commons.math3.util,FastMath.CodyWaite,0,92,0,2,0,24,0,5,0,4
Commons Math,org.apache.commons.math3.util,DefaultTransformer,2,45,0,6,1,12,1,6,1,3
Commons Math,org.apache.commons.math3.util,FastMath.lnMant,0,3,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.util,Decimal64,58,613,2,12,11,86,11,67,9,62
Commons Math,org.apache.commons.math3.util,ResizableDoubleArray,48,994,10,77,11,223,14,79,4,45
Commons Math,org.apache.commons.math3.util,FastMath,438,7776,90,682,81,1380,67,394,2,70
Commons Math,org.apache.commons.math3.util,BigReal,13,400,0,4,6,76,4,33,4,31
Commons Math,org.apache.commons.math3.util,Decimal64Field,0,13,0,0,0,5,0,5,0,5
Commons Math,org.apache.commons.math3.util,MultidimensionalCounter.Iterator,11,95,1,7,3,16,4,7,3,4
Commons Math,org.apache.commons.math3.util,MathUtils,40,175,22,40,4,35,16,27,0,12
Commons Math,org.apache.commons.math3.util,Precision,49,514,20,83,3,103,15,62,3,19
Commons Math,org.apache.commons.math3.util,IterationEvent,0,10,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math3.util,FastMath.ExpIntTable,0,5,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,FastMathCalc,1923,0,62,0,275,0,48,0,17,0
Commons Math,org.apache.commons.math3.util,MathArrays,287,1839,56,166,59,333,33,118,3,36
Commons Math,org.apache.commons.math3.util,MathArrays.new Comparator() {...},13,23,2,1,3,5,2,2,0,2
Commons Math,org.apache.commons.math3.util,OpenIntToDoubleHashMap.Iterator,17,96,4,12,5,23,4,9,0,5
Commons Math,org.apache.commons.math3.util,CompositeFormat,0,214,1,27,0,56,1,21,0,8
Commons Math,org.apache.commons.math3.util,OpenIntToFieldHashMap.Iterator,17,96,4,12,5,23,4,9,0,5
Commons Math,org.apache.commons.math3.util,FastMathLiteralArrays,0,33548,0,0,0,10,0,6,0,6
Commons Math,org.apache.commons.math3.util,Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,9,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.util,MultidimensionalCounter,30,229,2,22,4,45,2,18,1,7
Commons Math,org.apache.commons.math3.util,ResizableDoubleArray.ExpansionMode,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,ContinuedFraction,56,103,7,9,11,31,9,4,2,3
Commons Math,org.apache.commons.math3.util,Incrementor,9,69,1,7,2,22,1,13,0,10
Commons Math,org.apache.commons.math3.util,MathArrays.OrderDirection,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,ArithmeticUtils,26,1640,8,244,4,324,8,147,0,29
Commons Math,org.apache.commons.math3.util,FastMath.ExpFracTable,0,5,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,IterationManager,25,96,0,8,7,27,3,13,3,9
Commons Math,org.apache.commons.math3.util,BigRealField,2,8,0,0,1,4,1,4,1,4
